Gender,Height,Weight,BMI
Male,170.3,55.3,19.06
Female,152.9,61.0,26.12
Female,147.0,38.0,17.61
Male,185.9,85.7,24.79
Male,162.0,56.3,21.47
Female,172.6,62.0,20.83
Male,183.9,61.0,18.05
Female,157.4,50.3,20.3
Male,162.8,44.0,16.62
Male,168.4,69.3,24.44
Female,157.9,64.2,25.77
Female,152.9,41.2,17.64
Female,174.3,69.3,22.81
Female,172.5,59.4,19.98
Female,168.0,56.1,19.9
Female,153.6,54.4,23.07
Female,166.0,59.1,21.44
Male,170.1,77.0,26.61
Female,163.1,52.9,19.9
Male,169.3,70.4,24.55
Female,164.4,58.8,21.74
Male,172.6,71.7,24.07
Male,167.1,56.8,20.35
Female,162.4,55.8,21.14
Female,147.5,41.8,19.23
Female,160.6,47.8,18.55
Male,173.5,71.4,23.73
Female,151.0,51.1,22.42
Female,171.8,69.3,23.5
Male,165.9,71.6,26.02
Male,173.2,77.5,25.83
Male,170.3,60.3,20.78
Male,185.7,80.1,23.23
Female,160.1,49.1,19.15
Female,161.4,55.5,21.29
Male,165.7,54.3,19.78
Female,162.8,69.5,26.21
Female,160.4,57.3,22.26
Male,172.8,63.8,21.36
Female,159.6,63.2,24.81
Male,158.8,35.5,14.1
Female,172.6,49.2,16.52
Female,166.3,66.0,23.88
Male,163.2,57.4,21.54
Male,167.7,62.9,22.38
Female,160.3,43.7,16.99
Male,171.4,64.0,21.81
Female,152.4,63.2,27.21
Female,158.9,59.6,23.61
Female,154.8,50.7,21.15
Female,151.2,42.6,18.63
Male,181.3,70.0,21.3
Male,153.0,35.0,14.94
Male,169.3,64.5,22.48
Male,172.2,71.8,24.2
Male,173.1,53.2,17.75
Female,167.4,55.4,19.76
Male,158.7,43.6,17.3
Female,160.3,46.5,18.11
Female,154.1,49.1,20.68
Female,152.4,35.0,15.07
Female,162.4,61.1,23.16
Male,168.7,67.9,23.84
Female,169.0,60.1,21.04
Male,163.6,37.4,13.98
Male,168.7,53.8,18.92
Female,151.3,56.0,24.48
Male,175.1,45.3,14.79
Male,183.1,72.0,21.48
Male,179.2,61.9,19.26
Female,156.0,56.8,23.35
Male,183.2,69.5,20.7
Male,174.1,69.9,23.07
Male,176.8,73.6,23.56
Female,162.2,70.7,26.86
Male,171.5,62.7,21.32
Male,166.1,62.5,22.65
Male,177.9,58.3,18.4
Female,152.0,56.3,24.38
Female,156.6,44.9,18.3
Female,170.1,58.6,20.25
Male,179.2,71.1,22.14
Male,176.3,56.1,18.07
Female,147.0,44.1,20.42
Female,160.2,61.9,24.13
Female,160.2,56.5,22.03
Male,170.5,50.8,17.46
Male,162.8,55.5,20.95
Female,141.3,43.1,21.59
Female,162.8,41.5,15.65
Male,175.5,59.3,19.27
Female,152.1,53.9,23.3
Female,157.3,53.8,21.72
Male,171.2,67.4,22.99
Female,153.7,63.2,26.76
Male,166.3,63.4,22.93
Male,173.2,71.1,23.72
Female,172.9,87.3,29.2
Female,157.6,50.2,20.19
Male,155.0,43.1,17.94
Female,160.2,57.6,22.45
Male,171.5,67.9,23.07
Female,159.3,49.2,19.38
Male,182.3,65.8,19.8
Female,162.6,74.8,28.3
Female,182.3,76.6,23.07
Female,166.0,53.5,19.43
Female,155.0,56.9,23.66
Male,181.3,72.3,22.0
Female,157.5,49.7,20.04
Male,176.9,73.7,23.55
Female,166.4,49.4,17.85
Female,160.2,57.0,22.21
Male,178.5,85.9,26.98
Female,160.1,57.8,22.56
Female,162.4,53.1,20.15
Male,172.9,61.5,20.59
Male,165.0,55.2,20.28
Male,170.0,60.9,21.09
Male,169.9,59.9,20.75
Male,173.7,73.6,24.41
Female,159.6,39.8,15.61
Female,160.6,61.4,23.82
Male,170.1,60.1,20.76
Female,165.8,62.3,22.64
Female,150.6,36.5,16.1
Male,165.2,69.3,25.4
Female,155.9,60.3,24.8
Female,159.7,61.4,24.08
Female,162.0,43.6,16.64
Female,152.9,54.3,23.21
Female,165.1,61.8,22.68
Male,176.9,56.4,18.01
Female,146.8,41.9,19.45
Female,146.3,44.6,20.83
Male,169.6,67.1,23.32
Female,158.5,54.0,21.52
Male,182.2,76.3,22.99
Male,167.8,72.8,25.86
Male,171.8,74.4,25.22
Female,166.6,37.0,13.34
Male,159.8,51.3,20.08
Male,162.2,54.7,20.78
Male,159.8,39.8,15.59
Female,162.0,56.6,21.55
Female,168.7,71.8,25.24
Male,174.7,58.5,19.18
Male,172.9,68.3,22.85
Female,148.1,35.9,16.39
Male,154.8,44.0,18.34
Female,156.1,62.3,25.57
Male,167.7,56.6,20.12
Female,160.3,57.9,22.56
Male,175.9,53.4,17.24
Male,172.0,79.7,26.94
Female,155.3,54.6,22.63
Male,172.6,63.9,21.44
Female,163.4,61.6,23.09
Female,149.3,35.0,15.71
Female,162.7,65.9,24.89
Female,160.7,52.1,20.15
Female,159.0,51.4,20.35
Male,168.2,57.5,20.31
Male,174.6,62.5,20.5
Male,169.1,67.8,23.69
Female,158.4,54.6,21.77
Male,176.8,74.3,23.78
Male,157.0,51.3,20.79
Male,161.9,59.8,22.82
Male,160.6,51.2,19.85
Male,154.7,67.0,28.02
Male,166.3,47.1,17.03
Female,155.6,60.2,24.84
Female,166.9,71.2,25.54
Female,168.1,54.5,19.28
Male,178.6,88.6,27.77
Female,163.7,65.3,24.37
Male,170.5,71.2,24.5
Female,146.8,42.4,19.65
Female,157.8,50.3,20.19
Female,153.9,46.9,19.78
Male,166.8,63.3,22.73
Male,160.6,65.8,25.49
Female,158.8,54.4,21.56
Male,168.5,54.4,19.14
Male,176.6,75.6,24.22
Male,183.0,82.1,24.51
Male,161.3,60.4,23.22
Male,173.7,72.3,23.96
Male,163.7,55.2,20.59
Female,163.1,49.4,18.56
Female,168.2,54.4,19.24
Female,171.5,51.3,17.43
Male,177.5,71.6,22.74
Female,164.1,57.0,21.18
Male,167.3,57.0,20.38
Male,163.5,35.0,13.09
Male,166.4,49.8,17.98
Male,174.0,75.6,24.96
Female,161.5,50.0,19.18
Male,173.3,68.9,22.93
Female,163.4,46.0,17.21
Male,180.2,83.7,25.77
Female,162.0,54.7,20.83
Male,160.7,56.9,22.05
Male,178.5,89.2,28.01
Female,140.0,48.1,24.56
Female,162.7,54.0,20.39
Male,173.7,61.6,20.41
Female,147.9,40.5,18.52
Male,173.4,70.2,23.33
Female,163.3,56.2,21.05
Female,151.9,43.5,18.87
Male,171.5,76.1,25.87
Female,169.6,61.7,21.46
Male,178.5,89.1,27.95
Male,165.1,59.3,21.76
Male,173.3,80.3,26.72
Male,170.8,66.6,22.82
